source_group,target_group,beta,target_assignment_rate,target_minus_source_similarity,invariant_violation_score,rsm_pearson,mean_relative_perturbation_norm,success_minus_violation,success_minus_perturbation,balanced_validity_score,validity_score_lambda_0,validity_score_lambda_1,validity_score_lambda_5,validity_score_lambda_10,validity_score_lambda_20,validity_score_lambda_50,validity_score_lambda_100
analogy,causality,0.25,0.0,-0.07670263596547955,0.0002143492562362015,0.9997856507437638,0.13734905421733856,-0.0002143492562362015,-0.13734905421733856,-0.013949254677970058,0.0,-0.0002143492562362015,-0.0010717462811810075,-0.002143492562362015,-0.00428698512472403,-0.010717462811810075,-0.02143492562362015
analogy,causality,0.5,0.3333333333333333,0.0033139052128952073,0.0008806332479361911,0.9991193667520638,0.2746981084346771,0.3324527000853971,0.05863522489865619,0.3049828892419294,0.3333333333333333,0.3324527000853971,0.32893016709365236,0.3245270008539714,0.3157206683746095,0.28930167093652376,0.2452700085397142
analogy,causality,0.75,1.0,0.0817043057191511,0.0019109922918736366,0.9980890077081264,0.4120471775531769,0.9980890077081264,0.5879528224468231,0.9568842899528087,1.0,0.9980890077081264,0.9904450385406318,0.9808900770812636,0.9617801541625273,0.9044503854063182,0.8089007708126363
analogy,causality,1.0,1.0,0.15448393823197082,0.0031017762018228368,0.9968982237981772,0.5493962168693542,0.9968982237981772,0.45060378313064575,0.9419586021112417,1.0,0.9968982237981772,0.9844911189908858,0.9689822379817716,0.9379644759635433,0.8449111899088582,0.6898223798177163
analogy,causality,1.5,1.0,0.2743127613104841,0.005187937990323799,0.9948120620096762,0.8240943551063538,0.9948120620096762,0.17590564489364624,0.9124026264990408,1.0,0.9948120620096762,0.974060310048381,0.948120620096762,0.896241240193524,0.7406031004838101,0.4812062009676201
analogy,causality,2.0,1.0,0.3586383633824013,0.00637066433877842,0.9936293356612216,1.0987924337387085,0.9936293356612216,-0.0987924337387085,0.8837500922873507,1.0,0.9936293356612216,0.9681466783061079,0.9362933566122158,0.8725867132244316,0.681466783061079,0.362933566122158
analogy,definition,0.0,0.0,-0.1359248132351113,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analogy,definition,0.25,0.0,-0.06961524786317874,0.00022436494375188687,0.9997756350562481,0.12605497241020203,-0.00022436494375188687,-0.12605497241020203,-0.012829862184772091,0.0,-0.00022436494375188687,-0.0011218247187594343,-0.0022436494375188687,-0.004487298875037737,-0.011218247187594343,-0.022436494375188687
analogy,definition,0.5,0.3333333333333333,-6.677747326655492e-05,0.0009585322950029784,0.999041467704997,0.25210994482040405,0.33237480103833034,0.08122338851292926,0.30716380655628994,0.3333333333333333,0.33237480103833034,0.3285406718583184,0.32374801038330353,0.31416268743327375,0.2854067185831844,0.23748010383303547
analogy,definition,0.75,1.0,0.06944012154681967,0.002175512169488525,0.9978244878305115,0.3781648874282837,0.9978244878305115,0.6218351125717163,0.9600079990876831,1.0,0.9978244878305115,0.9891224391525574,0.9782448783051148,0.9564897566102295,0.8912243915255738,0.7824487830511475
analogy,definition,1.0,1.0,0.13562988467467063,0.0036991627189433274,0.9963008372810567,0.5042198896408081,0.9963008372810567,0.4957801103591919,0.9458788483169759,1.0,0.9963008372810567,0.9815041864052834,0.9630083728105667,0.9260167456211335,0.8150418640528336,0.6300837281056673
