model,layer,normalized_depth,beta,mean_target_assignment_rate,mean_target_minus_source_similarity,mean_relative_perturbation_norm,pairs_assignment_ge_0_5,pairs_assignment_eq_1,mean_ivs,mean_rsm_pearson,median_assignment,min_assignment,max_assignment,median_ivs,max_ivs,efficiency,validity_score
Qwen/Qwen3-1.7B,16,0.5714285714285714,1.0,1.0,0.11552450704421617,0.4602191795905431,12,12,0.004984947254362955,0.9950150527456371,1.0,1.0,1.0,0.0036464249961768447,0.010969698952701834,2.1728776692030154,0.9489931347865828
Qwen/Qwen3-1.7B,16,0.5714285714285714,1.25,1.0,0.16768020209007203,0.5752740030487379,12,12,0.0073230562164015205,0.9926769437835986,1.0,1.0,1.0,0.005391292946413551,0.015179281890777885,1.7383020566153728,0.9351495434787247
Qwen/Qwen3-1.7B,16,0.5714285714285714,1.5,1.0,0.21422733743740086,0.6903287768363953,12,12,0.009543075570689868,0.9904569244293103,1.0,1.0,1.0,0.007089623140739465,0.01946333005175449,1.4485851076597147,0.9214240467456706
Qwen/Qwen3-1.7B,20,0.7142857142857143,0.25,0.041666666666666664,-0.048693382095545835,0.10387015839417775,0,0,0.0002775288585307086,0.9997224711414695,0.0,0.0,0.16666666666666666,0.00019984817288487555,0.000943035830810568,0.40114180337655264,0.031002121968718176
Qwen/Qwen3-1.7B,20,0.7142857142857143,0.5,0.4861111111111111,-0.00018524593411226956,0.2077403167883555,9,0,0.0011320691180014553,0.9988679308819987,0.5,0.3333333333333333,0.6666666666666666,0.000855870209979015,0.0038744247439980173,2.3399939656702187,0.4642050103142741
Qwen/Qwen3-1.7B,20,0.7142857142857143,0.75,0.9583333333333335,0.04832793488654976,0.3116104876001676,12,9,0.002505543594922129,0.9974944564050778,1.0,0.8333333333333334,1.0,0.0018684192443922942,0.008606563732517114,3.075420567387259,0.9246667409783945
Qwen/Qwen3-1.7B,20,0.7142857142857143,1.0,1.0,0.09514964544968053,0.415480633576711,12,12,0.004231004904023977,0.9957689950959762,1.0,1.0,1.0,0.003123005820545144,0.014498737390694294,2.4068509940472547,0.9542209317383049
Qwen/Qwen3-1.7B,20,0.7142857142857143,1.25,1.0,0.13887405554072946,0.5193508019049963,12,12,0.006087532373289249,0.9939124676267107,1.0,1.0,1.0,0.004370741740437778,0.020652786823128433,1.9254807676760266,0.9419773874362111
Qwen/Qwen3-1.7B,20,0.7142857142857143,1.5,1.0,0.17856595996579247,0.6232209752003351,12,12,0.007871087858449375,0.9921289121415505,1.0,1.0,1.0,0.005470962398036905,0.02623052972854678,1.604567278296235,0.9298068146215172
Qwen/Qwen3-1.7B,24,0.8571428571428571,0.25,0.05555555555555555,-0.031041308417675884,0.08481821635117133,0,0,0.0001495854304845353,0.9998504145695156,0.0,0.0,0.3333333333333333,7.463102532750954e-05,0.00044244475015697837,0.654995487945479,0.04692414848995388
