model,layer,normalized_depth,source_group,target_group,beta,delta_norm,mean_target_assignment_rate,mean_target_minus_source_similarity,mean_relative_perturbation_norm,ivs,rsm_pearson
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,logic,1.25,23.906019115628776,1.0,0.1521340196828006,0.5308390259742737,0.01255947928852208,0.9874405207114779
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,logic,1.5,23.906019115628776,1.0,0.1990610126135538,0.6370068192481995,0.01749849855991037,0.9825015014400896
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,causality,0.25,18.07699511695385,0.16666666666666666,-0.02572033651929828,0.0802808329463005,0.0006743212927559084,0.9993256787072441
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,causality,0.5,18.07699511695385,0.5,0.0012745195239306506,0.160561665892601,0.0026586768623496626,0.9973413231376503
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,causality,0.75,18.07699511695385,0.8333333333333334,0.027846603273530057,0.24084246158599854,0.005770453264162589,0.9942295467358374
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,causality,1.0,18.07699511695385,1.0,0.053542878639316616,0.321123331785202,0.00970188829685037,0.9902981117031496
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,causality,1.25,18.07699511695385,1.0,0.07798964638674699,0.40140411257743835,0.014093042034416858,0.9859069579655831
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,causality,1.5,18.07699511695385,1.0,0.10091173955129584,0.48168492317199707,0.018604727832994716,0.9813952721670053
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,analogy,0.25,21.698074057461,0.0,-0.04162940754629085,0.09636221081018448,0.00034028309313915983,0.9996597169068608
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,analogy,0.5,21.698074057461,0.6666666666666666,-0.0005153469556419266,0.19272442162036896,0.0013294142060064074,0.9986705857939936
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,analogy,0.75,21.698074057461,1.0,0.04088880357312852,0.2890866696834564,0.0028569542697748362,0.9971430457302252
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,analogy,1.0,21.698074057461,1.0,0.08139222546111347,0.3854488432407379,0.004748412679334346,0.9952515873206657
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,analogy,1.25,21.698074057461,1.0,0.1199230863173395,0.4818110764026642,0.006804168004914679,0.9931958319950853
Qwen/Qwen3-1.7B,8,0.2857142857142857,definition,analogy,1.5,21.698074057461,1.0,0.15565783349238516,0.5781733393669128,0.008842779690869551,0.9911572203091304
