model,layer,split,source_group,target_group,beta,intervention_type,rsm_pearson,invariant_violation_score,rsm_frobenius_distance,ivs_advantage_vs_random
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,analogy,1.0,task,0.9991977344683028,0.000802265531697155,0.06381951599426916,9.832040938284603e-05
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,analogy,1.0,matched_random,0.99909941405892,0.000900585941080001,0.059624663775709456,9.832040938284603e-05
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,analogy,1.0,opposite,0.9999879980990863,1.2001900913660712e-05,0.05822844010271867,9.832040938284603e-05
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,definition,0.5,task,0.999743971725574,0.00025602827442594567,0.025194785708101484,0.00014925941906263063
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,definition,0.5,matched_random,0.9995947123065114,0.0004052876934885763,0.017803743648787305,0.00014925941906263063
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,definition,0.5,opposite,0.9999213412116605,7.86587883394585e-05,0.01482529990329183,0.00014925941906263063
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,definition,0.75,task,0.999421910515787,0.0005780894842130069,0.047483470071970936,0.0003523592490887184
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,definition,0.75,matched_random,0.9990695512666983,0.0009304487333017253,0.038318349200757156,0.0003523592490887184
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,definition,0.75,opposite,0.9999143848236576,8.561517634242399e-05,0.03457565086217633,0.0003523592490887184
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,definition,1.0,task,0.9990322826851814,0.0009677173148185947,0.07170323906773761,0.0006031675502083944
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,definition,1.0,matched_random,0.998429115134973,0.001570884865026989,0.06206639302148596,0.0006031675502083944
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,logic,definition,1.0,opposite,0.9999446815264487,5.531847355133568e-05,0.05810334274058125,0.0006031675502083944
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,logic,0.5,task,0.9969262291213863,0.003073770878613713,0.04219391098987958,-0.002831247250207558
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,logic,0.5,matched_random,0.9997574763715938,0.00024252362840615493,0.03189383715443913,-0.002831247250207558
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,logic,0.5,opposite,0.9975214409185577,0.002478559081442344,0.08459940213557038,-0.002831247250207558
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,logic,0.75,task,0.9939424333653324,0.0060575666346676105,0.03535266751284708,-0.005455971566231788
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,logic,0.75,matched_random,0.9993984049315642,0.0006015950684358229,0.06501409290858827,-0.005455971566231788
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,logic,0.75,opposite,0.9952184706338725,0.004781529366127524,0.12835845473220353,-0.005455971566231788
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,logic,1.0,task,0.9914791467249658,0.008520853275034157,0.012285476414797668,-0.007422409143023945
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,logic,1.0,matched_random,0.9989015558679898,0.0010984441320102123,0.10291093217069845,-0.007422409143023945
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,logic,1.0,opposite,0.9928054257598008,0.007194574240199203,0.16854595904116762,-0.007422409143023945
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,analogy,0.5,task,0.9970865578479307,0.0029134421520693454,0.03428996328383237,-0.0024390448960794897
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,analogy,0.5,matched_random,0.9995256027440101,0.0004743972559898557,0.03488982710105958,-0.0024390448960794897
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,analogy,0.5,opposite,0.9973656482719905,0.0026343517280095208,0.07873650673060635,-0.0024390448960794897
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,analogy,0.75,task,0.9944556109684705,0.00554438903152954,0.02515457216986095,-0.004465772929703626
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,analogy,0.75,matched_random,0.9989213838981741,0.0010786161018259133,0.06812830314175344,-0.004465772929703626
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,analogy,0.75,opposite,0.9947874545420211,0.00521254545797889,0.12120922729099003,-0.004465772929703626
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,analogy,1.0,task,0.9925389589082136,0.007461041091786358,0.008907380452385769,-0.005621065348858867
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,analogy,1.0,matched_random,0.9981600242570725,0.001839975742927491,0.10554460909426149,-0.005621065348858867
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,analogy,1.0,opposite,0.9919701876320296,0.008029812367970401,0.16095519924815824,-0.005621065348858867
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,definition,0.5,task,0.9984284302965574,0.0015715697034426324,0.01277554194714126,-0.0015648425790201204
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,definition,0.5,matched_random,0.9999932728755775,6.727124422511999e-06,0.02119493956632018,-0.0015648425790201204
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,definition,0.5,opposite,0.9985089166395367,0.00149108336046333,0.04391867607140504,-0.0015648425790201204
Qwen/Qwen3-1.7B,16,B_paraphrase_fit_original_eval,causality,definition,0.75,task,0.9967634292354893,0.003236570764510671,0.0058224327595234465,-0.003232463984141787
