source_group,target_group,beta,lambda,gamma,target_assignment_rate,invariant_violation_score,rsm_pearson,mean_relative_perturbation_norm,constraint_score
logic,analogy,1.0,1.0,0.0,1.0,0.0018303762779822152,0.9981696237220178,0.44480109214782715,0.9981696237220178
logic,analogy,1.5,1.0,0.0,1.0,0.004124779863477923,0.9958752201365221,0.6672016978263855,0.9958752201365221
logic,analogy,2.0,1.0,0.0,1.0,0.006569112734496452,0.9934308872655035,0.8896021842956543,0.9934308872655035
logic,analogy,0.0,1.0,0.05,0.0,0.0,1.0,0.0,0.0
logic,analogy,0.25,1.0,0.05,0.0,8.36119557474646e-05,0.9999163880442525,0.11120027303695679,-0.005643625607595304
logic,analogy,0.5,1.0,0.05,0.5,0.0003885092047469785,0.999611490795253,0.22240054607391357,0.48849146349155737
logic,analogy,0.75,1.0,0.05,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.9823495896297989
logic,analogy,1.0,1.0,0.05,1.0,0.0018303762779822152,0.9981696237220178,0.44480109214782715,0.9759295691146265
logic,analogy,1.5,1.0,0.05,1.0,0.004124779863477923,0.9958752201365221,0.6672016978263855,0.9625151352452028
logic,analogy,2.0,1.0,0.05,1.0,0.006569112734496452,0.9934308872655035,0.8896021842956543,0.9489507780507208
logic,analogy,0.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0
logic,analogy,0.25,1.0,0.1,0.0,8.36119557474646e-05,0.9999163880442525,0.11120027303695679,-0.011203639259443144
logic,analogy,0.5,1.0,0.1,0.5,0.0003885092047469785,0.999611490795253,0.22240054607391357,0.47737143618786165
logic,analogy,0.75,1.0,0.1,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.9656695471841393
logic,analogy,1.0,1.0,0.1,1.0,0.0018303762779822152,0.9981696237220178,0.44480109214782715,0.953689514507235
logic,analogy,1.5,1.0,0.1,1.0,0.004124779863477923,0.9958752201365221,0.6672016978263855,0.9291550503538836
logic,analogy,2.0,1.0,0.1,1.0,0.006569112734496452,0.9934308872655035,0.8896021842956543,0.9044706688359381
logic,analogy,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0
logic,analogy,0.25,1.0,0.2,0.0,8.36119557474646e-05,0.9999163880442525,0.11120027303695679,-0.022323666563138823
logic,analogy,0.5,1.0,0.2,0.5,0.0003885092047469785,0.999611490795253,0.22240054607391357,0.4551313815804703
logic,analogy,0.75,1.0,0.2,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.9323094622928201
logic,analogy,1.0,1.0,0.2,1.0,0.0018303762779822152,0.9981696237220178,0.44480109214782715,0.9092094052924523
logic,analogy,1.5,1.0,0.2,1.0,0.004124779863477923,0.9958752201365221,0.6672016978263855,0.862434880571245
logic,analogy,2.0,1.0,0.2,1.0,0.006569112734496452,0.9934308872655035,0.8896021842956543,0.8155104504063727
logic,analogy,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
logic,analogy,0.25,5.0,0.0,0.0,8.36119557474646e-05,0.9999163880442525,0.11120027303695679,-0.00041805977873732303
logic,analogy,0.5,5.0,0.0,0.5,0.0003885092047469785,0.999611490795253,0.22240054607391357,0.4980574539762651
logic,analogy,0.75,5.0,0.0,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.9951481603772929
logic,analogy,1.0,5.0,0.0,1.0,0.0018303762779822152,0.9981696237220178,0.44480109214782715,0.9908481186100889
logic,analogy,1.5,5.0,0.0,1.0,0.004124779863477923,0.9958752201365221,0.6672016978263855,0.9793761006826104
logic,analogy,2.0,5.0,0.0,1.0,0.006569112734496452,0.9934308872655035,0.8896021842956543,0.9671544363275177
logic,analogy,0.0,5.0,0.05,0.0,0.0,1.0,0.0,0.0
logic,analogy,0.25,5.0,0.05,0.0,8.36119557474646e-05,0.9999163880442525,0.11120027303695679,-0.0059780734305851626
logic,analogy,0.5,5.0,0.05,0.5,0.0003885092047469785,0.999611490795253,0.22240054607391357,0.48693742667256945
logic,analogy,0.75,5.0,0.05,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.9784681179316332
logic,analogy,1.0,5.0,0.05,1.0,0.0018303762779822152,0.9981696237220178,0.44480109214782715,0.9686080640026976
logic,analogy,1.5,5.0,0.05,1.0,0.004124779863477923,0.9958752201365221,0.6672016978263855,0.9460160157912911
logic,analogy,2.0,5.0,0.05,1.0,0.006569112734496452,0.9934308872655035,0.8896021842956543,0.922674327112735
logic,analogy,0.0,5.0,0.1,0.0,0.0,1.0,0.0,0.0
logic,analogy,0.25,5.0,0.1,0.0,8.36119557474646e-05,0.9999163880442525,0.11120027303695679,-0.011538087082433002
logic,analogy,0.5,5.0,0.1,0.5,0.0003885092047469785,0.999611490795253,0.22240054607391357,0.47581739936887374
logic,analogy,0.75,5.0,0.1,1.0,0.0009703679245414154,0.9990296320754586,0.33360084891319275,0.9617880754859737
logic,analogy,1.0,5.0,0.1,1.0,0.0018303762779822152,0.9981696237220178,0.44480109214782715,0.9463680093953062
logic,analogy,1.5,5.0,0.1,1.0,0.004124779863477923,0.9958752201365221,0.6672016978263855,0.9126559308999719
logic,analogy,2.0,5.0,0.1,1.0,0.006569112734496452,0.9934308872655035,0.8896021842956543,0.8781942178979523
logic,analogy,0.0,5.0,0.2,0.0,0.0,1.0,0.0,0.0
logic,analogy,0.25,5.0,0.2,0.0,8.36119557474646e-05,0.9999163880442525,0.11120027303695679,-0.02265811438612868
