source_group,target_group,lambda,gamma,selected_beta,selected_assignment_rate,selected_ivs,selected_rsm_pearson,selected_relative_perturbation,baseline_frontier_beta,baseline_assignment_rate,baseline_ivs,baseline_rsm_pearson,baseline_relative_perturbation,delta_ivs_vs_baseline,delta_perturbation_vs_baseline,delta_assignment_vs_baseline
causality,analogy,1.0,0.2,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
causality,analogy,5.0,0.0,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
causality,analogy,5.0,0.05,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
causality,analogy,5.0,0.1,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
causality,analogy,5.0,0.2,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
causality,analogy,10.0,0.0,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
causality,analogy,10.0,0.05,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
causality,analogy,10.0,0.1,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
causality,analogy,10.0,0.2,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
causality,analogy,20.0,0.0,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
causality,analogy,20.0,0.05,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.75,1.0,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.0,0.0,0.0
