source_group,target_group,beta,delta_norm,mean_source_similarity,mean_target_similarity,mean_target_minus_source_similarity,target_assignment_rate,relative_perturbation_norm
analogy,definition,1.5,56.62173336114752,0.5411242140790429,0.869815261507712,0.32869104742866917,1.0,0.8778530955314636
analogy,definition,2.0,56.62173336114752,0.4139045247049877,0.8401103723739135,0.42620584766892583,1.0,1.1704707145690918
definition,logic,-1.0,50.34522395349936,0.7997321692105116,0.4661653239965346,-0.333566845213977,0.0,0.47306498885154724
definition,logic,-0.5,50.34522395349936,0.8210566253871372,0.5767120468394168,-0.2443445785477204,0.0,0.23653249442577362
definition,logic,0.0,50.34522395349936,0.8115789951745859,0.683985991074446,-0.12759300410013985,0.0,0.0
definition,logic,0.25,50.34522395349936,0.7906510573912963,0.7292340999797983,-0.061416957411498,0.3333333333333333,0.11826624721288681
definition,logic,0.5,50.34522395349936,0.7582857504980128,0.7652236628765117,0.006937912378498834,0.6666666666666666,0.23653249442577362
definition,logic,0.75,50.34522395349936,0.7157072224357668,0.7903904789972231,0.07468325656145636,0.6666666666666666,0.3547987937927246
definition,logic,1.0,50.34522395349936,0.6652493483244372,0.8045072681633066,0.13925791983886948,0.8333333333333334,0.47306498885154724
definition,logic,1.5,50.34522395349936,0.5520799771371497,0.804091082308973,0.25201110517182324,1.0,0.7095975875854492
definition,logic,2.0,50.34522395349936,0.43889879414702415,0.7777314673840854,0.33883267323706123,1.0,0.9461299777030945
definition,causality,-1.0,52.302126872288426,0.7748761771504666,0.42097139775290576,-0.3539047793975609,0.0,0.4914529323577881
definition,causality,-0.5,52.302126872288426,0.8091477840108308,0.5488957648761185,-0.2602520191347123,0.0,0.24572646617889404
definition,causality,0.0,52.302126872288426,0.8115789951745859,0.6753331670430431,-0.13624582813154273,0.0,0.0
definition,causality,0.25,52.302126872288426,0.795328643035699,0.7293638642992318,-0.06596477873646711,0.0,0.12286323308944702
