source_group,target_group,beta,mean_similarity_to_source,mean_similarity_to_target,target_minus_source_similarity,target_assignment_rate,mean_relative_perturbation_norm,rsm_pearson,rsm_spearman,invariant_violation_score,rsm_frobenius_distance
causality,logic,2.0,0.49183626816575293,0.8179686642461214,0.3261323960803684,1.0,0.9190225601196289,0.9808454861433714,0.9714285714285713,0.019154513856628586,0.1304435746772225
causality,analogy,0.0,0.9151241891530968,0.7632795391477708,-0.151844650005326,0.0,0.0,0.9999999999999999,1.0,1.1102230246251565e-16,0.0
causality,analogy,0.25,0.9000537885401628,0.8196411703682215,-0.08041261817194134,0.0,0.12931765615940094,0.9996144827642803,1.0,0.0003855172357196679,0.07774572801219687
causality,analogy,0.5,0.8684896432348214,0.8648774972275399,-0.003612146007281436,0.5,0.2586353123188019,0.998384404536644,0.9964285714285712,0.00161559546335599,0.12121636625503829
causality,analogy,0.75,0.8203075969696987,0.8950878853671159,0.07478028839741724,1.0,0.3879530131816864,0.9964024388039475,0.9928571428571428,0.003597561196052479,0.12189534618224931
causality,analogy,1.0,0.7580458664961608,0.908557540935675,0.1505116744395142,1.0,0.5172706246376038,0.9940372271887392,0.9928571428571428,0.005962772811260786,0.0805360251407109
causality,analogy,1.5,0.6102574908091782,0.8910233123107877,0.28076582150160945,1.0,0.7759060263633728,0.9899637899544368,0.982142857142857,0.01003621004556321,0.10228226636425945
causality,analogy,2.0,0.46248250443123,0.8372666417603106,0.3747841373290806,1.0,1.0345412492752075,0.9880032592797342,0.982142857142857,0.011996740720265797,0.3112645933694023
causality,definition,0.0,0.9151241891530968,0.8477794780013689,-0.06734471115172791,0.0,0.0,0.9999999999999999,1.0,1.1102230246251565e-16,0.0
causality,definition,0.25,0.9075608931204157,0.8725324408733836,-0.035028452247032105,0.0,0.08651947975158691,0.999965156951727,1.0,3.484304827294782e-05,0.044265190534336946
causality,definition,0.5,0.8928475127455474,0.8914770507043731,-0.001370462041174303,0.6666666666666666,0.17303895950317383,0.9998377088443804,1.0,0.00016229115561960938,0.07358400556749502
causality,definition,0.75,0.8707875958192169,0.9036871772192505,0.03289958140003357,1.0,0.25955843925476074,0.9995785069022456,1.0,0.0004214930977544107,0.0853799292910107
causality,definition,1.0,0.8416973869098703,0.9086668654773952,0.06696947856752489,1.0,0.34607791900634766,0.9991509285100408,1.0,0.0008490714899591634,0.07860984864040339
causality,definition,1.5,0.7660813973738643,0.8974828077457402,0.13140141037187592,1.0,0.5191168785095215,0.9977313612341961,0.9964285714285712,0.0022686387658038543,0.01670837742403986
causality,definition,2.0,0.6761807845949378,0.863269389741355,0.18708860514641723,1.0,0.6921558380126953,0.9957130344664468,0.9964285714285712,0.004286965533553233,0.10281069044612211
analogy,logic,0.0,0.929368805176412,0.8254660874601396,-0.10390271771627235,0.0,0.0,1.0,1.0,0.0,0.0
